trade_id,entry_date,exit_date,asset,direction,quantity,entry_price,exit_price,pnl,hold_days
1,2024-04-25,2024-05-09,GLD,-1,4224,82.9326,85.428,-10540.49,10
2,2023-04-19,2023-05-15,GLD,-1,2132,99.6734,100.8467,-2501.57,18
3,2024-05-01,2024-05-27,TLT,1,4672,103.0135,106.0584,14225.89,18
4,2024-03-13,2024-04-05,QQQ,-1,4513,90.8305,93.3549,-11392.81,17
5,2024-01-02,2024-02-07,HYG,1,344,123.1529,133.4496,3542.09,26
6,2020-06-18,2020-06-30,HYG,1,4943,104.4819,102.7071,-8772.99,8
7,2021-10-14,2021-11-04,TLT,1,4892,111.5048,106.1562,-26165.72,15
8,2024-09-30,2024-10-10,GLD,-1,371,73.6626,74.0888,-158.12,8
9,2021-04-07,2021-04-30,SPY,1,3611,132.7028,141.5208,31841.9,17
10,2020-05-01,2020-05-19,GLD,1,1871,107.5314,108.0868,1039.28,12
11,2024-04-22,2024-05-29,TLT,-1,1362,103.9538,106.898,-4010.02,27
12,2023-05-04,2023-05-16,HYG,-1,2524,121.9511,123.4703,-3834.51,8
13,2020-07-01,2020-08-05,GLD,-1,4461,105.536,104.4304,4932.18,25
14,2022-12-13,2023-01-02,HYG,-1,1020,144.665,141.3988,3331.47,14
15,2021-04-26,2021-04-30,SPY,1,3530,141.9723,141.5208,-1593.91,4
16,2023-02-01,2023-02-02,HYG,1,4535,139.0097,139.4405,1953.86,1
17,2021-06-23,2021-06-24,HYG,1,4584,134.736,135.5978,3950.44,1
18,2024-08-28,2024-09-24,QQQ,1,2724,74.5437,77.8577,9027.5,19
19,2023-08-30,2023-09-21,QQQ,-1,3860,90.0563,87.7003,9094.14,16
20,2021-01-21,2021-02-10,QQQ,1,2150,105.8398,109.9356,8806.04,14
21,2024-07-16,2024-08-14,HYG,1,3600,110.8158,113.1085,8253.79,21
22,2021-10-05,2021-10-27,TLT,-1,1265,114.8951,106.8062,10232.43,16
23,2020-01-30,2020-02-06,HYG,1,475,94.205,94.136,-32.81,5
24,2020-12-18,2020-12-31,TLT,1,2133,102.7423,103.3683,1335.4,9
25,2022-11-11,2022-12-19,TLT,1,245,99.6339,102.9917,822.66,26
26,2023-04-13,2023-05-23,QQQ,1,4488,108.3342,101.9759,-28536.21,28
27,2021-10-26,2021-10-28,GLD,1,531,112.8018,112.2752,-279.6,2
28,2024-02-23,2024-03-20,SPY,1,804,117.5121,124.6143,5710.17,18
29,2021-12-15,2021-12-23,QQQ,-1,2732,155.6501,149.8554,15831.01,6
30,2022-09-06,2022-09-19,QQQ,-1,4594,117.1679,123.1604,-27529.36,9
31,2023-09-27,2023-09-28,GLD,1,1063,96.2825,96.4283,155.03,1
32,2020-09-22,2020-10-05,SPY,1,2334,123.6311,125.0888,3402.3,9
33,2023-09-01,2023-10-06,HYG,-1,2141,115.4077,113.4739,4140.27,25
34,2022-08-18,2022-09-09,HYG,1,1928,157.054,154.7995,-4346.53,16
35,2023-09-01,2023-09-20,QQQ,1,2208,90.5309,84.7376,-12791.55,13
36,2022-02-25,2022-03-10,SPY,1,4168,147.0417,141.5304,-22971.06,9
37,2024-11-08,2024-12-09,QQQ,-1,1038,80.8807,82.8137,-2006.46,21
38,2023-03-09,2023-03-28,TLT,1,4905,105.2325,102.2995,-14386.25,13
39,2024-06-04,2024-06-17,QQQ,-1,906,80.9158,78.5826,2113.88,9
40,2022-06-23,2022-07-08,QQQ,1,1563,110.3712,119.8032,14742.35,11
41,2020-01-29,2020-02-04,HYG,-1,3515,93.9898,94.2037,-751.91,4
42,2023-03-22,2023-03-24,HYG,-1,110,133.3924,132.1866,132.63,2
43,2020-08-20,2020-09-30,HYG,1,1968,106.1544,115.958,19293.45,29
44,2021-06-25,2021-07-05,TLT,-1,4967,117.0575,119.2349,-10815.29,6
45,2022-04-20,2022-05-10,HYG,1,984,156.759,151.0647,-5603.23,14
46,2021-03-17,2021-03-23,SPY,-1,3664,128.3352,126.4937,6747.27,4
47,2020-01-20,2020-01-28,GLD,1,1489,95.7669,95.8834,173.61,6
48,2020-12-03,2020-12-30,SPY,1,3501,138.9611,132.4287,-22869.65,19
49,2022-12-22,2022-12-30,SPY,-1,4421,134.2027,134.0614,625.01,6
50,2022-03-01,2022-03-03,HYG,1,924,155.4041,153.8883,-1400.68,2
51,2023-06-09,2023-07-05,GLD,1,2365,100.3959,98.3064,-4941.78,18
52,2020-05-07,2020-05-26,GLD,-1,1036,105.5914,107.0843,-1546.67,13
53,2023-08-30,2023-09-12,GLD,1,2900,100.3936,95.4357,-14377.68,9
54,2021-12-13,2022-01-13,TLT,1,2653,105.0261,106.2267,3185.1,23
55,2022-12-21,2023-01-17,HYG,-1,3945,141.1973,143.0024,-7120.92,19
56,2020-02-18,2020-03-06,GLD,-1,1896,96.7044,95.4071,2459.64,13
57,2020-10-14,2020-10-29,TLT,1,153,104.5622,104.7165,23.61,11
58,2024-03-26,2024-03-27,QQQ,1,826,92.0264,91.8662,-132.27,1
59,2023-12-06,2024-01-09,QQQ,-1,2836,84.8527,90.9126,-17185.91,24
60,2023-11-30,2024-01-01,TLT,-1,3270,110.3906,110.4192,-93.34,22
61,2022-03-02,2022-03-11,TLT,1,2013,106.8873,110.0249,6316.02,7
62,2024-04-30,2024-06-04,HYG,-1,1696,128.6278,119.9772,14671.47,25
63,2022-09-09,2022-10-10,HYG,1,2014,154.7995,157.0344,4500.9,21
64,2021-07-15,2021-08-05,QQQ,1,2566,109.7723,113.5365,9658.9,15
65,2022-10-18,2022-10-19,GLD,1,2837,117.8124,117.2207,-1678.47,1
66,2020-08-13,2020-08-31,QQQ,1,949,108.8311,105.9278,-2755.25,12
67,2020-10-08,2020-11-13,GLD,1,2209,112.6509,119.561,15264.53,26
68,2023-10-25,2023-11-03,GLD,-1,102,99.3586,99.5671,-21.26,7
69,2021-01-12,2021-02-02,HYG,-1,4355,128.2395,126.2821,8524.74,15
70,2023-02-15,2023-03-16,SPY,-1,4169,139.7761,128.6532,46371.47,21
71,2021-09-29,2021-10-26,SPY,-1,4976,138.2399,155.8047,-87402.74,19
72,2023-11-23,2024-01-02,TLT,1,992,112.0914,109.6448,-2426.98,28
73,2021-02-17,2021-03-30,HYG,1,2130,125.5867,129.5601,8463.37,29
74,2022-10-04,2022-11-08,GLD,1,3260,117.6615,118.7954,3696.61,25
75,2021-04-16,2021-04-19,SPY,1,2476,135.939,136.896,2369.67,1
76,2023-05-15,2023-06-07,GLD,-1,4775,100.8467,99.9905,4088.66,17
77,2024-02-15,2024-03-11,SPY,1,2033,119.7874,117.6333,-4379.37,17
78,2023-01-12,2023-01-17,SPY,1,1480,140.0626,138.7732,-1908.24,3
79,2020-10-29,2020-11-16,SPY,-1,3781,133.2303,135.3585,-8046.48,12
80,2022-12-05,2022-12-13,HYG,-1,1390,145.9077,144.665,1727.48,6
81,2020-09-18,2020-10-26,QQQ,-1,1740,113.1523,117.3726,-7343.37,26
82,2021-06-15,2021-06-30,GLD,-1,2782,118.9717,119.5343,-1565.03,11
83,2021-11-19,2021-11-24,HYG,1,1087,157.0598,160.4986,3737.97,3
84,2024-01-30,2024-02-09,HYG,1,1318,134.2948,134.0317,-346.76,8
85,2024-07-10,2024-07-30,HYG,-1,1455,112.2846,114.2572,-2870.2,14
86,2020-01-21,2020-02-10,HYG,1,4365,97.5204,95.1285,-10440.82,14
87,2020-03-31,2020-04-14,HYG,1,4716,103.6868,105.0086,6233.79,10
88,2021-12-29,2021-12-31,TLT,1,4235,107.2295,105.3583,-7924.8,2
89,2024-05-31,2024-06-20,GLD,-1,1660,79.9035,82.8671,-4919.65,14
90,2022-06-24,2022-07-07,HYG,1,1518,146.8318,151.1004,6479.71,9
91,2024-02-29,2024-03-05,GLD,-1,1054,85.8761,86.3966,-548.55,3
92,2024-06-14,2024-07-15,TLT,1,1083,108.025,104.3624,-3966.63,21
93,2022-04-08,2022-05-16,TLT,1,1074,103.7231,100.297,-3679.65,26
94,2021-07-01,2021-07-13,GLD,1,4233,121.7454,123.3117,6630.26,8
